Date,Open,High,Low,Close,Adj Close,Volume
2022-07-28,189.110001,191.479996,186.880005,190.440002,186.597717,3653900
2022-07-29,190.479996,193.130005,188.860001,192.460007,188.576965,2907400
2022-08-01,191.410004,193.160004,190.899994,191.990005,188.116440,2333300
2022-08-02,191.130005,191.350006,188.660004,189.119995,185.304352,3335500
2022-08-03,189.360001,191.910004,187.800003,191.500000,187.636322,2535100
2022-08-04,191.130005,192.820007,190.440002,192.440002,188.557358,1701200
2022-08-05,191.570007,192.850006,190.279999,192.270004,188.390808,1848700
2022-08-08,194.190002,195.460007,193.089996,193.970001,190.056488,2077700
2022-08-09,194.570007,194.910004,193.399994,194.089996,190.174057,2281600
2022-08-10,196.940002,198.320007,196.369995,197.229996,193.250717,2639600
2022-08-11,197.000000,199.619995,197.000000,198.509995,195.476181,2392700
2022-08-12,199.330002,200.979996,198.240005,200.869995,197.800110,2257800
2022-08-15,200.630005,202.699997,199.440002,202.250000,199.159027,2307900
2022-08-16,200.419998,204.259995,200.059998,203.669998,200.557312,1661200
2022-08-17,201.809998,203.970001,201.250000,202.779999,199.680923,1661200
2022-08-18,202.509995,204.000000,202.380005,203.720001,200.606552,1509200
2022-08-19,202.619995,202.820007,200.860001,201.559998,198.479584,2040700
2022-08-22,199.580002,199.669998,197.330002,197.839996,194.816422,2588000
2022-08-23,198.360001,198.830002,197.139999,197.550003,194.530853,1607600
2022-08-24,196.740005,198.529999,196.320007,197.789993,194.767181,1351800
2022-08-25,199.220001,200.500000,197.919998,200.429993,197.366821,1631500
2022-08-26,199.240005,200.440002,192.940002,193.059998,190.109467,2837000
2022-08-29,192.779999,193.899994,191.199997,192.419998,189.479263,2095700
2022-08-30,191.960007,193.039993,189.289993,190.699997,187.785538,2224000
2022-08-31,192.570007,192.660004,189.009995,189.350006,186.456177,2629300
2022-09-01,189.149994,191.139999,188.539993,190.729996,187.815079,2242600
2022-09-02,193.089996,193.429993,186.229996,186.889999,184.033768,2748400
2022-09-06,187.110001,188.429993,184.360001,185.600006,182.763489,2548900
2022-09-07,185.899994,189.759995,185.830002,189.089996,186.200134,2344300
2022-09-08,188.339996,188.339996,184.440002,187.820007,184.949570,3506500
2022-09-09,189.110001,192.009995,188.809998,191.690002,188.760406,2909900
2022-09-12,193.199997,193.669998,191.380005,192.029999,189.095215,2766700
2022-09-13,188.509995,190.039993,184.619995,184.979996,182.152954,4858500
2022-09-14,185.250000,185.250000,178.190002,179.970001,177.219543,4949900
2022-09-15,179.139999,179.990005,176.199997,176.860001,174.157059,3452100
2022-09-16,173.559998,177.639999,172.520004,177.350006,174.639587,6417900
2022-09-19,176.000000,179.070007,175.740005,178.630005,175.900024,2416200
2022-09-20,177.039993,177.550003,175.070007,177.009995,174.304749,2478800
2022-09-21,177.910004,179.630005,174.289993,174.300003,171.636200,2505400
2022-09-22,173.539993,174.750000,172.020004,173.250000,170.602234,2229900
2022-09-23,172.779999,174.300003,169.919998,171.380005,168.760818,3202300
2022-09-26,171.529999,172.330002,168.860001,170.070007,167.470856,3271600
2022-09-27,170.860001,172.460007,168.380005,170.070007,167.470856,2692400
2022-09-28,171.860001,174.759995,170.429993,173.830002,171.173370,3077800
2022-09-29,173.360001,173.360001,168.110001,170.070007,167.470856,3117000
2022-09-30,170.100006,171.199997,166.630005,166.970001,164.418213,3810300
2022-10-03,170.070007,174.380005,169.080002,173.039993,170.395432,3379000
2022-10-04,174.899994,178.410004,174.830002,178.190002,175.466736,3691300
2022-10-05,176.619995,179.770004,175.009995,177.809998,175.092545,2940200
2022-10-06,176.289993,177.690002,173.860001,175.039993,172.364868,2599200
2022-10-07,173.589996,174.160004,170.369995,171.410004,168.790359,2961600
2022-10-10,172.809998,173.800003,170.119995,171.889999,169.263000,1932100
2022-10-11,171.399994,175.759995,170.779999,173.619995,170.966568,2908300
2022-10-12,174.059998,175.000000,172.199997,172.789993,170.149261,2728000
2022-10-13,169.399994,178.389999,169.220001,177.550003,174.836517,3223000
2022-10-14,178.149994,178.520004,173.830002,174.160004,171.498322,2970300
2022-10-17,177.660004,179.000000,176.130005,177.039993,174.334305,3437900
2022-10-18,180.179993,181.160004,177.639999,179.880005,177.130905,1978600
2022-10-19,179.500000,180.830002,177.940002,179.279999,176.540070,1688000
2022-10-20,179.360001,180.820007,177.110001,177.639999,174.925140,2687500
2022-10-21,176.990005,183.309998,176.520004,182.809998,180.016129,2959800
2022-10-24,184.509995,188.080002,183.839996,186.899994,184.043625,3271000
2022-10-25,186.660004,189.860001,186.199997,189.649994,186.751587,2907100
2022-10-26,191.630005,192.949997,189.759995,190.270004,187.362122,4202900
2022-10-27,193.360001,199.580002,192.800003,196.490005,193.487061,4754000
2022-10-28,199.000000,205.160004,196.690002,204.929993,201.798065,4892700
2022-10-31,202.410004,204.990005,202.289993,204.020004,200.901978,4433400
2022-11-01,204.449997,205.080002,201.520004,203.100006,199.996033,4376600
2022-11-02,203.339996,206.889999,200.050003,200.470001,197.406235,4692700
2022-11-03,200.369995,206.050003,199.169998,204.389999,201.266312,4653700
2022-11-04,206.300003,208.029999,204.210007,207.850006,204.673462,4125000
2022-11-07,207.699997,210.240005,207.139999,209.770004,206.564102,2671700
2022-11-08,209.330002,212.380005,208.880005,211.360001,208.129807,2631300
2022-11-09,210.000000,211.539993,208.440002,208.630005,206.447586,3040400
2022-11-10,214.850006,215.070007,211.149994,214.800003,212.553040,4354600
2022-11-11,214.589996,214.960007,211.449997,212.729996,210.504684,4226800
2022-11-14,212.779999,216.080002,211.830002,213.000000,210.771881,3074000
2022-11-15,215.360001,216.190002,213.089996,215.429993,213.176437,2367400
2022-11-16,215.759995,216.229996,213.309998,214.000000,211.761398,2446900
2022-11-17,212.250000,215.380005,212.020004,214.509995,212.266068,2689300
2022-11-18,216.389999,217.350006,213.160004,214.529999,212.285858,2974700
2022-11-21,215.000000,217.220001,213.850006,216.559998,214.294632,2346500
2022-11-22,217.130005,219.009995,217.000000,218.759995,216.471603,2516400
2022-11-23,218.789993,220.679993,218.300003,218.910004,216.620056,2686700
2022-11-25,217.740005,220.960007,217.740005,220.050003,217.748123,1119900
2022-11-28,219.699997,220.210007,215.470001,215.770004,213.512894,2642600
2022-11-29,215.919998,217.419998,215.179993,216.720001,214.452957,2101700
2022-11-30,216.320007,220.649994,213.690002,219.550003,217.253357,4675000
